,Ranking,Discord Handle
0,Secret Agent,Dumdidum#1084
1,Secret Agent,pmuecke#5619
2,Secret Agent,SecretTaz
3,Bagman,Patrick | cryptocurnc#7404
4,Bagman,floAr#4492
5,Bagman,Orageux101#5504
6,Spymaster,@morryscrt#1323
7,Spymaster,ggjj90
8,Spymaster,@Iowascero
9,Handler,rangerranger
10,Handler,Vixxon#9039
12,Handler,SlyStone#4812
13,Handler,Todo Terreno Boy#3948
15,Handler,pajamas#9897
16,Informant,Zer Rez
17,Informant,Hopper#5665
20,Informant,Ospreyl#2408
21,Informant,flygeneticist
23,Informant,murilooon#3742
24,Informant,DogSlayer
25,Informant,luiz.clarke#7057
26,Informant,Xiphiar#7681
27,Informant,Quopius #5437
28,Informant,Mogenrath#7398
30,Informant,Lucas Zorzenoni 
31,Informant,goodvibes
32,Informant,jeremyjankowski | Secret Agent
33,Informant,Rav#5237
34,Informant,kumosoukai#6453
35,Informant,@Hoang (Juan)#2912
37,Informant,Crypt0Fox#1701
38,Recruit,Jimmy Tudeski#4488
39,Recruit,muyunping
40,Recruit,mikeisgo#0551
41,Recruit,sycotictoad#3844
42,Recruit,HauntedPan
43,Recruit,Vikinggroove
45,Recruit,Berryoska#9424
46,Recruit,vinay_93#8838
49,Recruit,Carter W. | Edu Committee LEad#9979
51,Recruit,DrManhattanPhD#7229
60,Recruit,yasir#4678
61,Recruit,XXGagXX55
62,Recruit,loonacatcher2#9834
64,Recruit,@RedfoxLG13#8848
66,Recruit,phucjackson2106#0545
68,Recruit,locked#6168
72,Recruit,Henrycn#8554
73,Recruit,hspencer77#5985
76,Recruit,cabrock1#5851
79,Recruit,Kenaard#1153
80,Recruit,joepat#7561
83,Recruit,Jordan1320
84,Recruit,z00x
85,Recruit,superfish#4372
86,Recruit,ZChao#4487
87,Recruit,Etul#8643
88,Recruit,Novi3042
89,Recruit,WSlogen
90,Recruit,Dremalaylay#2712
91,Recruit,DrunkenFrog#2342
93,Recruit,Vellit#7681
94,Recruit,uxt#9403
95,Recruit,@Iggy 🇷🇺🇫🇮#8294
97,Recruit,amostosin37#9231
98,Recruit, @tim2021#8613
99,Recruit,Winz
100,Recruit,drace#9381
101,Recruit,seb#6917
102,Recruit,Frank Shacker #8562
103,Recruit,kankun0817
104,Recruit,CultivatedCurt#2279
105,Recruit,Chippas#0601
106,Recruit,seb#6917
107,Recruit,Sterllling#3553
108,Recruit,Stephen sake#8778
112,Recruit,soheilstar#5144
114,Recruit,COLLIN#8363
115,Recruit,Drew0776#0818
116,Recruit,sjeantje#1964
118,Recruit,Siminfuture2
119,Recruit,sheilyand#8298
120,Recruit,sgrasmann
121,Recruit,segfaultdoctor#6456
122,Recruit,cvlucian
123,Recruit,cryptoproph
124,Recruit,SB#0857
125,Recruit,John | Secretisland#0737
127,Recruit,goopcat#1337
128,Recruit,adub#4825
129,Recruit,rollerdance#4981
130,Recruit,805443240803303454
132,Recruit,richo262
133,Recruit,rheeunion#0605
134,Recruit,Rene_Martin
135,Recruit,DRiPX#0731
136,Recruit,Julian#3190
137,Recruit,Raziel#1321
138,Recruit,RandomUser#2785
139,Recruit,121363848069513216
140,Recruit,pandora#1397
141,Recruit,pulsardream#0438
142,Recruit,pugafran#8533
